Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-05-02,4.49,4.49,4.33,4.41,40910626,0,0
2018-05-03,4.33,4.37,4.26,4.31,35379463,0,0
2018-05-04,4.31,4.37,4.28,4.29,17202630,0,0
2018-05-07,4.36,4.37,4.22,4.32,18817292,0,0
2018-05-08,4.29,4.42,4.29,4.38,14151892,0,0
2018-05-09,4.39,4.41,4.34,4.39,10576665,0,0
2018-05-10,4.41,4.49,4.39,4.41,13473940,0,0
2018-05-11,4.48,4.54,4.41,4.42,14635969,0,0
2018-05-14,4.43,4.45,4.33,4.38,22521305,0,0
2018-05-15,4.42,4.42,4.32,4.35,26918396,0,0
2018-05-16,4.33,4.35,4.3,4.35,14881591,0,0
2018-05-17,4.35,4.36,4.25,4.31,34245551,0,0
2018-05-18,4.31,4.43,4.28,4.38,25288943,0,0
2018-05-21,4.43,4.47,4.26,4.3,40830726,0,0
2018-05-23,4.31,4.31,4.12,4.18,53031779,0,0
2018-05-24,4.23,4.24,4.07,4.13,37630586,0,0
2018-05-25,4.15,4.15,4.04,4.07,24515990,0,0
2018-05-28,4.1,4.19,4.07,4.15,14522000,0,0
2018-05-29,4.15,4.17,4.09,4.12,11029141,0,0
2018-05-30,4.09,4.09,3.96,3.99,24978253,0,0
2018-05-31,4.05,4.13,4.02,4.13,31022173,0,0
2018-06-01,4.1,4.17,4.07,4.12,15642679,0,0
2018-06-04,4.15,4.24,4.13,4.2,17150000,0,0
2018-06-05,4.23,4.23,4.15,4.2,14131852,0,0
2018-06-06,4.22,4.24,4.13,4.24,28064000,0,0
2018-06-07,4.21,4.28,4.16,4.24,35642000,0,0
2018-06-08,4.2,4.25,4.18,4.25,16644000,0,0
2018-06-11,4.22,4.29,4.18,4.21,14259360,0,0
2018-06-12,4.21,4.24,4.07,4.13,55694997,0,0
2018-06-13,4.09,4.15,4.02,4.07,30312817,0,0
2018-06-14,4.06,4.08,3.9,4.02,34140246,0,0
2018-06-15,3.97,4.01,3.88,3.88,58272932,0,0
2018-06-19,3.86,3.88,3.7,3.72,53217036,0,0
2018-06-20,3.75,3.76,3.61,3.64,34256890,0,0
2018-06-21,3.64,3.74,3.6,3.63,21609352,0,0
2018-06-22,3.62,3.63,3.52,3.6,20083342,0,0
2018-06-25,3.65,3.74,3.44,3.47,33250986,0,0
2018-06-26,3.43,3.55,3.42,3.5,33987489,0,0
2018-06-27,3.51,3.56,3.36,3.4,25910000,0,0
2018-06-28,3.43,3.45,3.25,3.33,27854109,0,0
2018-06-29,3.27,3.47,3.25,3.46,45953218,0,0
2018-07-03,3.52,3.52,3.27,3.36,41367294,0,0
2018-07-04,3.37,3.37,3.21,3.25,15141070,0,0
2018-07-05,3.24,3.32,3.16,3.22,17501300,0,0
2018-07-06,3.19,3.25,3.1,3.19,25866241,0,0
2018-07-09,3.25,3.3,3.18,3.29,20604000,0,0
2018-07-10,3.3,3.37,3.27,3.27,22241160,0,0
2018-07-11,3.19,3.26,3.16,3.25,12262927,0,0
2018-07-12,3.23,3.3,3.2,3.27,14155298,0,0
2018-07-13,3.28,3.3,3.14,3.18,21025747,0,0
2018-07-16,3.2,3.23,3.09,3.11,16995796,0,0
2018-07-17,3.09,3.2,3.09,3.17,15422150,0,0
2018-07-18,3.21,3.21,3.13,3.15,11996195,0,0
2018-07-19,3.14,3.26,3.14,3.19,11489284,0,0
2018-07-20,3.2,3.23,3.09,3.21,18258872,0,0
2018-07-23,3.22,3.28,3.12,3.24,20431622,0,0
2018-07-24,3.27,3.62,3.27,3.52,65603201,0,0
2018-07-25,3.59,3.6,3.45,3.54,34924277,0,0
2018-07-26,3.51,3.59,3.5,3.59,22812635,0,0
2018-07-27,3.53,3.6,3.47,3.54,17901080,0,0
2018-07-30,3.5,3.64,3.5,3.62,16862037,0,0
2018-07-31,3.62,3.67,3.55,3.57,19027158,0,0
2018-08-01,3.64,3.64,3.47,3.47,23156214,0,0
2018-08-02,3.42,3.45,3.26,3.27,36112800,0,0
2018-08-03,3.32,3.37,3.18,3.19,31521070,0,0
2018-08-06,3.2,3.29,3.18,3.19,19153389,0,0
2018-08-07,3.18,3.32,3.15,3.26,23389664,0,0
2018-08-08,3.31,3.33,3.24,3.29,14654000,0,0
2018-08-09,3.36,3.63,3.36,3.51,64569990,0,0
2018-08-10,3.53,3.54,3.4,3.42,20397145,0,0
2018-08-13,3.41,3.41,3.21,3.26,39079306,0,0
2018-08-14,3.27,3.27,3.12,3.16,28410000,0,0
2018-08-15,3.18,3.19,2.98,3.04,39704656,0,0
2018-08-16,2.9,3.1,2.86,3.04,48435240,0,0
2018-08-17,3.05,3.1,3.02,3.05,36014000,0,0
2018-08-20,3.08,3.22,3.03,3.17,46502618,0,0
2018-08-21,3.24,3.26,3.19,3.23,45140473,0,0
2018-08-22,3.23,3.25,3.14,3.17,51936466,0,0
2018-08-23,3.18,3.2,3.12,3.18,24147618,0,0
2018-08-24,3.17,3.21,3.12,3.16,24460000,0,0
2018-08-27,3.19,3.25,3.17,3.21,42763747,0,0
2018-08-28,3.24,3.45,3.24,3.4,56066754,0,0
2018-08-29,3.37,3.49,3.36,3.43,31184425,0,0
2018-08-30,3.47,3.51,3.39,3.39,47686516,0,0
2018-08-31,3.3,3.38,3.29,3.32,20151905,0,0
2018-09-03,3.27,3.3,3.17,3.22,23100500,0,0
2018-09-04,3.23,3.33,3.19,3.3,12092000,0,0
2018-09-05,3.3,3.3,3.13,3.18,21862000,0,0
2018-09-06,3.17,3.27,3.16,3.24,18119590,0,0
2018-09-07,3.22,3.24,3.13,3.18,26436191,0,0
2018-09-10,3.18,3.19,3.03,3.07,30067444,0,0
2018-09-11,3.08,3.15,3.08,3.12,21859480,0,0
