Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-05-02,2.01,2.02,2.0,2.0,8419629,0,0
2018-05-03,2.0,2.01,1.99,2.0,9411286,0,0
2018-05-04,2.0,2.01,2.0,2.01,5444769,0,0
2018-05-07,2.01,2.05,2.01,2.05,18117583,0,0
2018-05-08,2.04,2.04,2.03,2.04,9576753,0,0
2018-05-09,2.04,2.1,2.04,2.07,22715900,0,0
2018-05-10,2.08,2.11,2.08,2.1,20269378,0,0
2018-05-11,2.1,2.11,2.07,2.07,14527585,0,0
2018-05-14,2.06,2.08,2.06,2.06,8838525,0,0
2018-05-15,2.07,2.07,2.05,2.06,8656344,0,0
2018-05-16,2.06,2.07,2.04,2.05,6233842,0,0
2018-05-17,2.05,2.11,2.05,2.09,20261881,0,0
2018-05-18,2.1,2.19,2.1,2.19,47539061,0,0
2018-05-21,2.24,2.24,2.17,2.18,34435200,0,0
2018-05-22,2.18,2.23,2.18,2.22,24051529,0,0
2018-05-23,2.21,2.32,2.2,2.25,36711983,0,0
2018-05-24,2.24,2.27,2.21,2.23,21186094,0,0
2018-05-25,2.22,2.23,2.19,2.19,14292300,0,0
2018-05-28,2.15,2.15,2.11,2.13,16856051,0,0
2018-05-29,2.13,2.16,2.12,2.14,9333800,0,0
2018-05-30,2.12,2.12,2.06,2.07,20516089,0,0
2018-05-31,2.09,2.11,2.09,2.1,11747400,0,0
2018-06-01,2.09,2.1,2.07,2.08,9432100,0,0
2018-06-04,2.08,2.1,2.06,2.07,10667200,0,0
2018-06-05,2.06,2.08,2.06,2.07,9292580,0,0
2018-06-06,2.07,2.09,2.07,2.07,8200126,0,0
2018-06-07,2.07,2.09,2.07,2.07,7442800,0,0
2018-06-08,2.08,2.1,2.04,2.05,13162009,0,0
2018-06-11,2.05,2.06,2.02,2.03,11528222,0,0
2018-06-12,2.03,2.05,2.03,2.05,6436637,0,0
2018-06-13,2.04,2.04,2.02,2.03,6803625,0,0
2018-06-14,2.03,2.05,2.02,2.03,5531675,0,0
2018-06-15,2.03,2.04,2.01,2.03,8999600,0,0
2018-06-19,2.01,2.01,1.93,1.93,18647701,0,0
2018-06-20,1.87,1.9,1.83,1.85,25849587,0,0
2018-06-21,1.86,1.93,1.84,1.87,16057011,0,0
2018-06-22,1.85,1.87,1.82,1.86,9307976,0,0
2018-06-25,1.91,1.92,1.87,1.88,8631450,0,0
2018-06-26,1.85,1.89,1.83,1.89,7136151,0,0
2018-06-27,1.9,1.94,1.89,1.91,10915576,0,0
2018-06-28,1.9,1.93,1.89,1.9,8721026,0,0
2018-06-29,1.91,1.92,1.88,1.92,7974025,0,0
2018-07-02,1.92,1.92,1.85,1.87,12306077,0,0
2018-07-03,1.87,1.89,1.84,1.89,9192636,0,0
2018-07-04,1.91,1.92,1.88,1.89,8202100,0,0
2018-07-05,1.89,1.89,1.83,1.84,10971596,0,0
2018-07-06,1.83,1.86,1.82,1.85,8498520,0,0
2018-07-09,1.86,1.89,1.85,1.88,10532036,0,0
2018-07-10,1.88,1.89,1.86,1.88,7174767,0,0
2018-07-11,1.87,1.87,1.84,1.85,8887700,0,0
2018-07-12,1.86,1.9,1.85,1.88,9841800,0,0
2018-07-13,1.88,1.89,1.86,1.87,6997200,0,0
2018-07-16,1.87,1.89,1.87,1.88,6394600,0,0
2018-07-17,1.86,1.89,1.86,1.89,4555725,0,0
2018-07-18,1.88,1.9,1.87,1.88,5708400,0,0
2018-07-19,1.88,1.89,1.86,1.86,5356700,0,0
2018-07-20,1.86,1.89,1.86,1.89,3974165,0,0
2018-07-23,1.88,1.9,1.87,1.9,6391962,0,0
2018-07-24,1.9,1.93,1.89,1.93,10920964,0,0
2018-07-25,1.93,1.94,1.91,1.92,8201286,0,0
2018-07-26,1.92,1.96,1.92,1.94,11327146,0,0
2018-07-27,1.93,1.96,1.93,1.94,9366000,0,0
2018-07-30,1.94,1.95,1.91,1.92,10772400,0,0
2018-07-31,1.92,1.95,1.91,1.94,10897644,0,0
2018-08-01,1.93,1.94,1.91,1.92,8744800,0,0
2018-08-02,1.91,1.91,1.84,1.87,14556475,0,0
2018-08-03,1.86,1.9,1.86,1.88,6346200,0,0
2018-08-06,1.88,1.89,1.86,1.87,6745100,0,0
2018-08-07,1.87,1.92,1.87,1.92,9155950,0,0
2018-08-08,1.92,2.02,1.92,1.96,28403351,0,0
2018-08-09,1.94,1.97,1.92,1.96,15011977,0,0
2018-08-10,1.95,1.96,1.94,1.96,6654942,0,0
2018-08-13,1.94,1.96,1.92,1.95,9243443,0,0
2018-08-14,1.95,1.99,1.94,1.97,10914400,0,0
2018-08-15,1.97,1.98,1.94,1.94,8646600,0,0
2018-08-16,1.92,1.93,1.9,1.91,7943350,0,0
2018-08-17,1.92,1.94,1.91,1.91,6340850,0,0
2018-08-20,1.91,1.93,1.88,1.9,7132450,0,0
2018-08-21,1.91,2.0,1.9,1.96,16089550,0,0
2018-08-22,1.95,1.99,1.94,1.96,12072302,0,0
2018-08-23,1.97,2.04,1.97,1.99,18132521,0,0
2018-08-24,1.99,2.01,1.97,2.0,8836301,0,0
2018-08-27,2.01,2.02,1.99,2.01,11524102,0,0
2018-08-28,2.01,2.02,1.99,2.02,12886800,0,0
2018-08-29,2.01,2.02,1.97,1.98,10716600,0,0
2018-08-30,1.99,2.0,1.97,1.98,8275762,0,0
2018-08-31,1.98,1.99,1.96,1.97,5669207,0,0
2018-09-03,1.96,1.98,1.95,1.97,5842542,0,0
2018-09-04,1.96,2.0,1.96,1.98,9613743,0,0
2018-09-05,1.97,1.99,1.96,1.97,7989752,0,0
2018-09-06,1.98,1.98,1.95,1.95,8314000,0,0
2018-09-07,1.95,1.98,1.95,1.96,6349757,0,0
2018-09-10,1.96,1.96,1.92,1.92,8739400,0,0
2018-09-11,1.92,2.0,1.92,1.97,13471000,0,0
2018-09-12,1.97,1.99,1.96,1.97,7857116,0,0
2018-09-13,1.98,2.03,1.97,2.0,20973714,0,0
2018-09-14,2.0,2.01,1.98,1.99,8617260,0,0
2018-09-17,1.98,2.01,1.97,2.0,9601626,0,0
2018-09-18,1.99,2.0,1.97,2.0,9296251,0,0
2018-09-19,1.99,2.03,1.99,2.02,13936125,0,0
2018-09-20,2.01,2.04,2.01,2.01,13340325,0,0
2018-09-21,2.0,2.02,1.99,2.01,10607528,0,0
2018-09-25,2.02,2.07,2.02,2.04,15601900,0,0
2018-09-26,2.04,2.1,2.04,2.06,22548166,0,0
2018-09-27,2.06,2.09,2.05,2.06,15241600,0,0
2018-09-28,2.07,2.08,2.06,2.08,10736565,0,0
2018-10-08,2.08,2.14,2.06,2.08,22178390,0,0
2018-10-09,2.08,2.13,2.08,2.12,17863762,0,0
2018-10-10,2.12,2.15,2.11,2.12,13396650,0,0
2018-10-11,2.06,2.07,2.01,2.01,32131200,0,0
2018-10-12,1.98,1.99,1.92,1.99,21673501,0,0
2018-10-15,2.0,2.0,1.97,1.98,8086800,0,0
2018-10-16,1.98,2.0,1.96,1.96,10080301,0,0
2018-10-17,1.97,1.99,1.94,1.96,9937835,0,0
2018-10-18,1.94,1.95,1.87,1.88,15489600,0,0
2018-10-19,1.86,1.92,1.83,1.92,11442838,0,0
2018-10-22,1.93,2.0,1.92,1.98,18389864,0,0
2018-10-23,1.97,1.97,1.94,1.94,9923793,0,0
2018-10-24,1.9,1.95,1.9,1.93,9716642,0,0
2018-10-25,1.89,1.92,1.88,1.92,9090267,0,0
2018-10-26,1.92,1.94,1.91,1.93,5779500,0,0
2018-10-29,1.93,1.93,1.91,1.91,6125900,0,0
2018-10-30,1.91,1.94,1.9,1.92,6955101,0,0
2018-10-31,1.92,1.94,1.91,1.93,10911600,0,0
2018-11-01,1.93,1.94,1.92,1.93,8775813,0,0
2018-11-02,1.93,1.95,1.93,1.94,9788902,0,0
2018-11-05,1.95,1.99,1.94,1.98,15875591,0,0
2018-11-06,1.97,1.97,1.94,1.95,8562000,0,0
2018-11-07,1.95,1.96,1.94,1.94,7467900,0,0
2018-11-08,1.95,1.98,1.94,1.97,14010172,0,0
2018-11-09,1.95,1.96,1.94,1.95,8106500,0,0
2018-11-12,1.95,1.98,1.94,1.98,16364197,0,0
2018-11-13,1.96,2.07,1.96,2.04,36098850,0,0
2018-11-14,2.02,2.04,1.99,2.01,30113600,0,0
2018-11-15,2.0,2.01,1.98,2.0,17804698,0,0
2018-11-16,2.0,2.02,1.99,2.0,14911001,0,0
2018-11-19,2.0,2.0,1.97,1.98,17950401,0,0
2018-11-20,1.98,1.98,1.95,1.95,14464550,0,0
2018-11-21,1.91,1.95,1.9,1.94,11568101,0,0
2018-11-22,1.95,1.95,1.93,1.95,5494775,0,0
2018-11-23,1.94,1.94,1.9,1.9,12073800,0,0
2018-11-26,1.89,1.91,1.88,1.91,6171203,0,0
2018-11-27,1.91,1.93,1.91,1.92,4622600,0,0
2018-11-28,1.92,1.93,1.9,1.92,5204650,0,0
2018-11-29,1.93,1.93,1.9,1.9,6807550,0,0
2018-11-30,1.91,1.92,1.89,1.91,6486050,0,0
2018-12-03,1.93,1.95,1.92,1.94,9473500,0,0
2018-12-04,1.94,1.94,1.92,1.94,7872685,0,0
2018-12-05,1.92,1.93,1.91,1.93,4729775,0,0
2018-12-06,1.92,1.93,1.91,1.91,4991900,0,0
2018-12-07,1.91,1.93,1.91,1.93,5813100,0,0
2018-12-10,1.92,1.93,1.91,1.91,5185600,0,0
2018-12-11,1.92,1.92,1.9,1.91,7115030,0,0
2018-12-12,1.91,1.92,1.91,1.91,2496401,0,0
2018-12-13,1.91,1.93,1.9,1.91,7821800,0,0
2018-12-14,1.92,1.93,1.9,1.9,8971450,0,0
2018-12-17,1.9,1.9,1.88,1.89,5018800,0,0
2018-12-18,1.9,1.9,1.88,1.89,4684201,0,0
2018-12-19,1.89,1.89,1.86,1.86,10431078,0,0
2018-12-20,1.86,1.88,1.86,1.87,3702500,0,0
2018-12-21,1.87,1.87,1.85,1.86,5338076,0,0
2018-12-24,1.86,1.87,1.85,1.86,3884225,0,0
2018-12-25,1.85,1.85,1.82,1.84,9524900,0,0
2018-12-26,1.84,1.85,1.83,1.84,3834800,0,0
2018-12-27,1.86,1.87,1.82,1.83,9373901,0,0
2018-12-28,1.83,1.84,1.82,1.83,7700175,0,0
2019-01-02,1.83,1.84,1.82,1.83,6046901,0,0
2019-01-03,1.83,1.85,1.83,1.84,4645100,0,0
2019-01-04,1.83,1.86,1.82,1.85,12151652,0,0
2019-01-07,1.83,1.87,1.82,1.86,8828473,0,0
2019-01-08,1.86,1.88,1.85,1.87,6411216,0,0
2019-01-09,1.87,1.89,1.87,1.87,8937642,0,0
2019-01-10,1.88,1.88,1.86,1.86,5852500,0,0
2019-01-11,1.86,1.87,1.85,1.87,3805375,0,0
2019-01-14,1.86,1.88,1.86,1.86,6158600,0,0
2019-01-15,1.87,1.88,1.85,1.87,5949623,0,0
2019-01-16,1.87,1.88,1.86,1.87,4423800,0,0
2019-01-17,1.87,1.88,1.86,1.86,5097823,0,0
2019-01-18,1.87,1.88,1.86,1.88,7153600,0,0
2019-01-21,1.88,1.89,1.87,1.88,7674000,0,0
2019-01-22,1.88,1.88,1.86,1.86,6532800,0,0
2019-01-23,1.86,1.87,1.85,1.86,4515400,0,0
2019-01-24,1.86,1.87,1.85,1.87,5252050,0,0
2019-01-25,1.86,1.88,1.86,1.87,5296400,0,0
2019-01-28,1.88,1.89,1.86,1.86,6907822,0,0
2019-01-29,1.85,1.86,1.83,1.84,7642103,0,0
2019-01-30,1.84,1.86,1.84,1.85,4587100,0,0
2019-01-31,1.85,1.85,1.83,1.84,6671300,0,0
2019-02-01,1.84,1.87,1.84,1.86,6316493,0,0
2019-02-11,1.86,1.88,1.86,1.87,8993839,0,0
2019-02-12,1.87,1.89,1.87,1.88,9046543,0,0
2019-02-13,1.88,1.91,1.87,1.91,12974065,0,0
2019-02-14,1.9,1.91,1.89,1.9,9289667,0,0
2019-02-15,1.9,1.92,1.89,1.9,11528200,0,0
2019-02-18,1.91,1.93,1.9,1.93,14012939,0,0
2019-02-19,1.92,1.93,1.9,1.92,16149828,0,0
2019-02-20,1.91,1.93,1.9,1.93,11879428,0,0
2019-02-21,1.92,1.94,1.91,1.92,13440000,0,0
2019-02-22,1.91,1.93,1.9,1.92,13913797,0,0
2019-02-25,1.93,2.01,1.92,2.0,42907722,0,0
2019-02-26,2.0,2.06,1.98,2.01,40789408,0,0
2019-02-27,2.0,2.06,2.0,2.03,30676399,0,0
2019-02-28,2.04,2.08,2.03,2.07,31622217,0,0
2019-03-01,2.08,2.09,2.04,2.06,22432301,0,0
2019-03-04,2.06,2.09,2.04,2.05,37546603,0,0
2019-03-05,2.05,2.07,2.03,2.06,25821504,0,0
2019-03-06,2.06,2.06,2.06,2.06,0,0,0
2019-03-07,2.06,2.06,2.06,2.06,0,0,0
2019-03-08,2.38,2.38,2.21,2.22,106957129,0,0
2019-03-11,2.18,2.28,2.18,2.27,41787677,0,0
2019-03-12,2.28,2.31,2.25,2.27,40817462,0,0
2019-03-13,2.27,2.28,2.23,2.23,30671100,0,0
2019-03-14,2.24,2.34,2.23,2.25,48063540,0,0
2019-03-15,2.28,2.31,2.26,2.29,24835647,0,0
2019-03-18,2.29,2.35,2.28,2.35,34228682,0,0
2019-03-19,2.36,2.47,2.36,2.47,58418427,0,0
2019-03-20,2.46,2.59,2.44,2.58,71294201,0,0
2019-03-21,2.58,2.66,2.5,2.51,75321990,0,0
2019-03-22,2.5,2.63,2.49,2.62,46617175,0,0
2019-03-25,2.59,2.69,2.56,2.56,60200929,0,0
2019-03-26,2.61,2.65,2.44,2.48,66308855,0,0
2019-03-27,2.51,2.52,2.37,2.4,58529929,0,0
2019-03-28,2.39,2.47,2.37,2.44,42293995,0,0
2019-03-29,2.49,2.49,2.43,2.49,45253321,0,0
2019-04-01,2.49,2.49,2.49,2.49,0,0,0
2019-04-02,2.49,2.49,2.49,2.49,0,0,0
2019-04-03,2.49,2.49,2.49,2.49,0,0,0
2019-04-04,3.31,3.31,3.03,3.31,372595600,0,0
2019-04-08,3.26,3.31,3.13,3.18,217938028,0,0
2019-04-09,3.19,3.35,3.11,3.2,178210489,0,0
2019-04-10,3.13,3.15,3.05,3.06,126536316,0,0
2019-04-11,3.05,3.09,2.91,2.92,100077752,0,0
2019-04-12,2.99,3.04,2.94,2.97,75633134,0,0
2019-04-15,3.01,3.04,2.93,2.95,79690394,0,0
2019-04-16,2.9,2.93,2.82,2.93,64532560,0,0
2019-04-17,2.93,2.93,2.88,2.9,50941125,0,0
2019-04-18,2.91,2.91,2.85,2.86,44245976,0,0
2019-04-19,2.86,2.93,2.83,2.92,49423855,0,0
2019-04-22,2.94,3.16,2.92,3.08,144664813,0,0
2019-04-23,3.1,3.13,2.96,2.97,85948185,0,0
2019-04-24,2.95,2.97,2.89,2.91,45192899,0,0
2019-04-25,2.9,2.91,2.75,2.82,57445703,0,0
2019-04-26,2.85,2.93,2.8,2.81,44610600,0,0
