H_Ticker,A_Ticker
00038.HK,601038.SH
00107.HK,601107.SH
00168.HK,600600.SH
00177.HK,600377.SH
00187.HK,600860.SH
00317.HK,600685.SH
00323.HK,600808.SH
00338.HK,600688.SH
00358.HK,600362.SH
00386.HK,600028.SH
00390.HK,601390.SH
00525.HK,601333.SH
00548.HK,600548.SH
00553.HK,600775.SH
00564.HK,601717.SH
00588.HK,601588.SH
00670.HK,600115.SH
00753.HK,601111.SH
00811.HK,601811.SH
00857.HK,601857.SH
00874.HK,600332.SH
00902.HK,600011.SH
00914.HK,600585.SH
00939.HK,601939.SH
00991.HK,601991.SH
00995.HK,600012.SH
00998.HK,601998.SH
01033.HK,600871.SH
01053.HK,601005.SH
01055.HK,600029.SH
01065.HK,600874.SH
01071.HK,600027.SH
01072.HK,600875.SH
01088.HK,601088.SH
01108.HK,600876.SH
01138.HK,600026.SH
01171.HK,600188.SH
01186.HK,601186.SH
01288.HK,601288.SH
01330.HK,601330.SH
01336.HK,601336.SH
01339.HK,601319.SH
01375.HK,601375.SH
01398.HK,601398.SH
01528.HK,601828.SH
01618.HK,601618.SH
01635.HK,600635.SH
01766.HK,601766.SH
01800.HK,601800.SH
01898.HK,601898.SH
01919.HK,601919.SH
01988.HK,600016.SH
02009.HK,601992.SH
02068.HK,601068.SH
02196.HK,600196.SH
02238.HK,601238.SH
02318.HK,601318.SH
02333.HK,601633.SH
02359.HK,603259.SH
02600.HK,601600.SH
02601.HK,601601.SH
02607.HK,601607.SH
02611.HK,601211.SH
02628.HK,601628.SH
02727.HK,601727.SH
02866.HK,601866.SH
02880.HK,601880.SH
02883.HK,601808.SH
02899.HK,601899.SH
03328.HK,601328.SH
03369.HK,601326.SH
03606.HK,600660.SH
03958.HK,600958.SH
03968.HK,600036.SH
03988.HK,601988.SH
03993.HK,603993.SH
06030.HK,600030.SH
06066.HK,601066.SH
06099.HK,600999.SH
06116.HK,603157.SH
06178.HK,601788.SH
06198.HK,601298.SH
06818.HK,601818.SH
06837.HK,600837.SH
06865.HK,601865.SH
06869.HK,601869.SH
06881.HK,601881.SH
06886.HK,601688.SH
