H_Ticker,A_Ticker,symbol,name,area,industry,list_date
00038.HK,601038.SH,601038,一拖股份,河南,农用机械,20120808
00107.HK,601107.SH,601107,四川成渝,四川,路桥,20090727
00168.HK,600600.SH,600600,青岛啤酒,山东,啤酒,19930827
00177.HK,600377.SH,600377,宁沪高速,江苏,路桥,20010116
00187.HK,600860.SH,600860,京城股份,北京,专用机械,19940506
00317.HK,600685.SH,600685,中船防务,广东,船舶,19931028
00323.HK,600808.SH,600808,马钢股份,安徽,普钢,19940106
00338.HK,600688.SH,600688,上海石化,上海,石油加工,19931108
00358.HK,600362.SH,600362,江西铜业,江西,铜,20020111
00386.HK,600028.SH,600028,中国石化,北京,石油加工,20010808
00390.HK,601390.SH,601390,中国中铁,北京,建筑施工,20071203
00525.HK,601333.SH,601333,广深铁路,深圳,铁路,20061222
00548.HK,600548.SH,600548,深高速,深圳,路桥,20011225
00553.HK,600775.SH,600775,南京熊猫,江苏,通信设备,19961118
00564.HK,601717.SH,601717,郑煤机,河南,工程机械,20100803
00588.HK,601588.SH,601588,北辰实业,北京,区域地产,20061016
00670.HK,600115.SH,600115,东方航空,上海,空运,19971105
00753.HK,601111.SH,601111,中国国航,北京,空运,20060818
00811.HK,601811.SH,601811,新华文轩,四川,出版业,20160808
00857.HK,601857.SH,601857,中国石油,北京,石油开采,20071105
00874.HK,600332.SH,600332,白云山,广东,中成药,20010206
00902.HK,600011.SH,600011,华能国际,北京,火力发电,20011206
00914.HK,600585.SH,600585,海螺水泥,安徽,水泥,20020207
00939.HK,601939.SH,601939,建设银行,北京,银行,20070925
00991.HK,601991.SH,601991,大唐发电,北京,火力发电,20061220
00995.HK,600012.SH,600012,皖通高速,安徽,路桥,20030107
00998.HK,601998.SH,601998,中信银行,北京,银行,20070427
01033.HK,600871.SH,600871,石化油服,北京,石油开采,19950411
01053.HK,601005.SH,601005,重庆钢铁,重庆,普钢,20070228
01055.HK,600029.SH,600029,南方航空,广东,空运,20030725
01065.HK,600874.SH,600874,创业环保,天津,环境保护,19950630
01071.HK,600027.SH,600027,华电国际,山东,火力发电,20050203
01072.HK,600875.SH,600875,东方电气,四川,电气设备,19951010
01088.HK,601088.SH,601088,中国神华,北京,煤炭开采,20071009
01108.HK,600876.SH,600876,洛阳玻璃,河南,玻璃,19951031
01138.HK,600026.SH,600026,中远海能,上海,水运,20020523
01171.HK,600188.SH,600188,兖州煤业,山东,煤炭开采,19980701
01186.HK,601186.SH,601186,中国铁建,北京,建筑施工,20080310
01288.HK,601288.SH,601288,农业银行,北京,银行,20100715
01330.HK,601330.SH,601330,绿色动力,深圳,环境保护,20180611
01336.HK,601336.SH,601336,新华保险,北京,保险,20111216
01339.HK,601319.SH,601319,中国人保,北京,保险,20181116
01375.HK,601375.SH,601375,中原证券,河南,证券,20170103
01398.HK,601398.SH,601398,工商银行,北京,银行,20061027
01528.HK,601828.SH,601828,美凯龙,上海,其他商业,20180117
01618.HK,601618.SH,601618,中国中冶,北京,建筑施工,20090921
01635.HK,600635.SH,600635,大众公用,上海,供气供热,19930304
01766.HK,601766.SH,601766,中国中车,北京,运输设备,20080818
01800.HK,601800.SH,601800,中国交建,北京,建筑施工,20120309
01898.HK,601898.SH,601898,中煤能源,北京,煤炭开采,20080201
01919.HK,601919.SH,601919,中远海控,天津,水运,20070626
01988.HK,600016.SH,600016,民生银行,北京,银行,20001219
02009.HK,601992.SH,601992,金隅集团,北京,水泥,20110301
02068.HK,601068.SH,601068,中铝国际,北京,建筑施工,20180831
02196.HK,600196.SH,600196,复星医药,上海,化学制药,19980807
02238.HK,601238.SH,601238,广汽集团,广东,汽车整车,20120329
02318.HK,601318.SH,601318,中国平安,深圳,保险,20070301
02333.HK,601633.SH,601633,长城汽车,河北,汽车整车,20110928
02359.HK,603259.SH,603259,药明康德,江苏,化学制药,20180508
02600.HK,601600.SH,601600,中国铝业,北京,铝,20070430
02601.HK,601601.SH,601601,中国太保,上海,保险,20071225
02607.HK,601607.SH,601607,上海医药,上海,医药商业,19940324
02611.HK,601211.SH,601211,国泰君安,上海,证券,20150626
02628.HK,601628.SH,601628,中国人寿,北京,保险,20070109
02727.HK,601727.SH,601727,上海电气,上海,电气设备,20081205
02866.HK,601866.SH,601866,中远海发,上海,水运,20071212
02880.HK,601880.SH,601880,大连港,辽宁,港口,20101206
02883.HK,601808.SH,601808,中海油服,天津,石油开采,20070928
02899.HK,601899.SH,601899,紫金矿业,福建,黄金,20080425
03328.HK,601328.SH,601328,交通银行,上海,银行,20070515
03369.HK,601326.SH,601326,秦港股份,河北,港口,20170816
03606.HK,600660.SH,600660,福耀玻璃,福建,汽车配件,19930610
03958.HK,600958.SH,600958,东方证券,上海,证券,20150323
03968.HK,600036.SH,600036,招商银行,深圳,银行,20020409
03988.HK,601988.SH,601988,中国银行,北京,银行,20060705
03993.HK,603993.SH,603993,洛阳钼业,河南,小金属,20121009
06030.HK,600030.SH,600030,中信证券,深圳,证券,20030106
06066.HK,601066.SH,601066,中信建投,北京,证券,20180620
06099.HK,600999.SH,600999,招商证券,深圳,证券,20091117
06116.HK,603157.SH,603157,拉夏贝尔,上海,服饰,20170925
06178.HK,601788.SH,601788,光大证券,上海,证券,20090818
06198.HK,601298.SH,601298,青岛港,山东,港口,20190121
06818.HK,601818.SH,601818,光大银行,北京,银行,20100818
06837.HK,600837.SH,600837,海通证券,上海,证券,19940224
06865.HK,601865.SH,601865,福莱特,浙江,玻璃,20190215
06869.HK,601869.SH,601869,长飞光纤,湖北,通信设备,20180720
06881.HK,601881.SH,601881,中国银河,北京,证券,20170123
06886.HK,601688.SH,601688,华泰证券,江苏,证券,20100226
